Arm Hole chosen,0
Spring Hole: 0,Invalid config,0,0,Arm Bolt Location: 1, angle: NaN, distance: NaN,Arm Bolt Location: 2, angle: NaN, distance: NaN,Arm Bolt Location: 3, angle: NaN, distance: NaN,Arm Bolt Location: 4, angle: NaN, distance: NaN,Arm Bolt Location: 5, angle: -61.86026450485575, distance: 0.9792213132625152,Arm Bolt Location: 6, angle: -33.46998021317785, distance: 0.5350599604645229,Arm Bolt Location: 7, angle: -16.678435357014834, distance: 0.2517833272620589,Arm Bolt Location: 8, angle: -3.647908007781494, distance: 0.05062166469940301,Arm Bolt Location: 9, angle: 7.604447606182107, distance: -0.09148029456161533,Arm Bolt Location: 10, angle: 18.005000690654636, distance: -0.15404974463926052,Arm Bolt Location: 11, angle: 28.158291279712, distance: -0.055512176826060806,Arm Bolt Location: 12, angle: 38.627160596708244, distance: 0.3427185603976097,Arm Bolt Location: 13, angle: 50.22282477760835, distance: 1.1539968067371935,Arm Bolt Location: 14, angle: 65.02607167973599, distance: 2.266625673161264,Arm Bolt Location: 15, angle: 90, distance: 2.541867812972196,Arm Bolt Location: 16, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 17, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 18, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 19, angle: 90, distance: 2.855686245854129,
Spring Hole: 11,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 12, angle: NaN, distance: NaN,Arm Bolt Location: 13, angle: NaN, distance: NaN,Arm Bolt Location: 14, angle: NaN, distance: NaN,Arm Bolt Location: 15, angle: NaN, distance: NaN,Arm Bolt Location: 16, angle: -61.86026450485575, distance: 1.2067691429635417,Arm Bolt Location: 17, angle: -33.46998021317785, distance: 0.5426154251587247,Arm Bolt Location: 18, angle: -16.678435357014834, distance: 0.22978089861281054,Arm Bolt Location: 19, angle: -3.647908007781494, distance: 0.0400510809679613,
Spring Hole: 12,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 13, angle: NaN, distance: NaN,Arm Bolt Location: 14, angle: NaN, distance: NaN,Arm Bolt Location: 15, angle: NaN, distance: NaN,Arm Bolt Location: 16, angle: NaN, distance: NaN,Arm Bolt Location: 17, angle: -61.86026450485575, distance: 1.2280750546993275,Arm Bolt Location: 18, angle: -33.46998021317785, distance: 0.5371763921723097,Arm Bolt Location: 19, angle: -16.678435357014834, distance: 0.224868576597628,
Spring Hole: 13,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 14, angle: NaN, distance: NaN,Arm Bolt Location: 15, angle: NaN, distance: NaN,Arm Bolt Location: 16, angle: NaN, distance: NaN,Arm Bolt Location: 17, angle: NaN, distance: NaN,Arm Bolt Location: 18, angle: -61.86026450485575, distance: 1.249860790298827,Arm Bolt Location: 19, angle: -33.46998021317785, distance: 0.5305307685596352,
Spring Hole: 14,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 15, angle: NaN, distance: NaN,Arm Bolt Location: 16, angle: NaN, distance: NaN,Arm Bolt Location: 17, angle: NaN, distance: NaN,Arm Bolt Location: 18, angle: NaN, distance: NaN,Arm Bolt Location: 19, angle: -61.86026450485575, distance: 1.2723340383095416,
Spring Hole: 15,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 16, angle: NaN, distance: NaN,Arm Bolt Location: 17, angle: NaN, distance: NaN,Arm Bolt Location: 18, angle: NaN, distance: NaN,Arm Bolt Location: 19, angle: NaN, distance: NaN,
Spring Hole: 16,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 17, angle: NaN, distance: NaN,Arm Bolt Location: 18, angle: NaN, distance: NaN,Arm Bolt Location: 19, angle: NaN, distance: NaN,
Spring Hole: 17,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 18, angle: NaN, distance: NaN,Arm Bolt Location: 19, angle: NaN, distance: NaN,
Spring Hole: 18,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 19, angle: NaN, distance: NaN,
Spring Hole: 19,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,Invalid config,0,0,

 
Arm Hole chosen,1
Spring Hole: 0,Invalid config,0,0,Arm Bolt Location: 1, angle: NaN, distance: NaN,Arm Bolt Location: 2, angle: NaN, distance: NaN,Arm Bolt Location: 3, angle: NaN, distance: NaN,Arm Bolt Location: 4, angle: -61.26766394596058, distance: 0.9124509006664302,Arm Bolt Location: 5, angle: -33.46998021317785, distance: 0.5317989021078363,Arm Bolt Location: 6, angle: -17.866823480423296, distance: 0.2853000600915185,Arm Bolt Location: 7, angle: -6.212387180138049, distance: 0.0930432095739988,Arm Bolt Location: 8, angle: 3.529503260045144, distance: -0.04870552005604603,Arm Bolt Location: 9, angle: 12.247183246300839, distance: -0.14524288092013182,Arm Bolt Location: 10, angle: 20.441448632198462, distance: -0.16761597332172914,Arm Bolt Location: 11, angle: 28.46298459384316, distance: -0.04201751420156338,Arm Bolt Location: 12, angle: 36.6265783982411, distance: 0.3453516632340605,Arm Bolt Location: 13, angle: 45.31320268436687, distance: 1.0956474248243155,Arm Bolt Location: 14, angle: 55.174272305280915, distance: 2.1991755301746787,Arm Bolt Location: 15, angle: 68.01436994044982, distance: 3.3485431635881877,Arm Bolt Location: 16, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 17, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 18, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 19, angle: 90, distance: 2.855686245854129,
Spring Hole: 1,Invalid config,0,0,Invalid config,0,0,Arm Bolt Location: 2, angle: NaN, distance: NaN,Arm Bolt Location: 3, angle: NaN, distance: NaN,Arm Bolt Location: 4, angle: NaN, distance: NaN,Arm Bolt Location: 5, angle: -61.26766394596058, distance: 0.9323934349178933,Arm Bolt Location: 6, angle: -33.46998021317785, distance: 0.5362853552702633,Arm Bolt Location: 7, angle: -17.866823480423296, distance: 0.28485035466307773,Arm Bolt Location: 8, angle: -6.212387180138049, distance: 0.09228945439331561,Arm Bolt Location: 9, angle: 3.529503260045144, distance: -0.0479500045275133,Arm Bolt Location: 10, angle: 12.247183246300839, distance: -0.14031182009918403,Arm Bolt Location: 11, angle: 20.441448632198462, distance: -0.15205620360449978,Arm Bolt Location: 12, angle: 28.46298459384316, distance: -0.00392031945471341,Arm Bolt Location: 13, angle: 36.6265783982411, distance: 0.4204947981892254,Arm Bolt Location: 14, angle: 45.31320268436687, distance: 1.2162803077311881,Arm Bolt Location: 15, angle: 55.174272305280915, distance: 2.356753571058886,Arm Bolt Location: 16, angle: 68.01436994044982, distance: 3.5016660333437812,Arm Bolt Location: 17, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 18, angle: 90, distance: 2.855686245854129,Arm Bolt Location: 19, angle: 90, distance: 2.855686245854129,
